                                          data.csv - encoding 1251
                ФИО                          Город          Кредитная карта     Вклад         Ипотека    
    Жарикова Каролина Тихоновна             Москва                 +              +              +       
     Еськова Ольга Казимировна              Казань                 -              -              -       
      Жилов Емельян Игоревич            Санкт-Петербург            +              +              -       
    Низовский Ярослав Пахомович          Екатеринбург              -              +              -       
      Фомичёва Инна Федотовна              Челябинск               +              +              -       
      Ёжиков Родион Захарович             Новосибирск              +              -              +       
   Ретюнскиха Елена Владленовна         Санкт-Петербург            +              +              +       
  Валиев Викентий Аполлинариевич         Екатеринбург              -              +              -       
   Яворский Мефодий Серафимович            Челябинск               -              -              -       
     Кинжаев Игорь Аникитевич             Новосибирск              +              +              +       
